OWNER_NAME,Borough,Latitude,Longitude
"32 PEARL, LLC",MANHATTAN,40.703235,-74.012421
AI IV LLC,MANHATTAN,40.702744,-74.012201
"B.H. 8 STONE STREET AG, LLC",MANHATTAN,40.704025,-74.012638
"PREMIER EMERALD, LLC",MANHATTAN,40.704039,-74.012317
GOLDMAN SACHS,MANHATTAN,40.714812,-74.016153
URBAN COMMONS 2 WEST IV LLC,MANHATTAN,40.705523,-74.01711
"TRINITY NYC HOTEL, LLC",MANHATTAN,40.707632,-74.013068
SOUTH WILLIAM ST ASSOC,MANHATTAN,40.704703,-74.010398
"75 WALL HOTEL, LLC",MANHATTAN,40.705486,-74.007874
110 WALL STREET L.P.,MANHATTAN,40.704638,-74.006694
129 FRONT HOTEL LLC,MANHATTAN,40.705187,-74.006369
"HCIN WATER STREET ASSOCIATES, LLC",MANHATTAN,40.705431,-74.007055
120-122 WATER STREET LLC,MANHATTAN,40.705299,-74.007242
SCCQ DOWNTOWN LLC,MANHATTAN,40.706773,-74.009143
GREAT EMPIRE REALTY LLC,MANHATTAN,40.706523,-74.00826
UNAVAILABLE OWNER,MANHATTAN,40.7064,-74.008043
EBNB 70 PINE OWNER LLC,MANHATTAN,40.7064,-74.008043
UNION INVESTMENT REAL ESTATE GMBH,MANHATTAN,40.709468,-74.012931
GOLDEN SEAHORSE LLC,MANHATTAN,40.708351,-74.014323
THE KING'S COLLEGE,MANHATTAN,40.708321,-74.01345
"JITEN HOTEL MANAGEMENT SERVICES, INC.",MANHATTAN,40.708263,-74.013475
123 WASHINGTON LLC,MANHATTAN,40.709139,-74.01402
"HMC FINANCIAL CENTER, INC.",MANHATTAN,40.709493,-74.014976
130 OWNERS GROUP,MANHATTAN,40.709729,-74.013818
"HCIN MAIDEN HOTEL ASSOCIATES, LLC",MANHATTAN,40.708931,-74.009035
INN ON BROADWAY US INC.,MANHATTAN,40.709669,-74.010092
"WESTBURY REALTY ASSOCIATES,LLC",MANHATTAN,40.709765,-74.008765
180 BROADWAY PROPERTY LLC,MANHATTAN,40.710037,-74.009779
84 WILLIAM STREET PROPERTY OWNER LLC,MANHATTAN,40.708028,-74.007939
GILD HALL LLC,MANHATTAN,40.707753,-74.006918
LAM PEARL STREET HOTEL LLC,MANHATTAN,40.707086,-74.006243
LAM PLATT STREET HOTEL LLC,MANHATTAN,40.707704,-74.006644
151 MAIDEN LLC,MANHATTAN,40.705714,-74.005399
SEAPORT HEIGHTS LLC,MANHATTAN,40.706051,-74.0051
55 JOHN STREET DII LLC,MANHATTAN,40.708988,-74.007654
106 FULTON LLC,MANHATTAN,40.709729,-74.006792
17 JOHN STREET PROPERTY OWNER LLC,MANHATTAN,40.709916,-74.008949
"CDL (NEW YORK) LIMITED, L.P.",MANHATTAN,40.711453,-74.010504
143 FULTON STREET DEVELOPMENT OWNER LLC,MANHATTAN,40.710764,-74.007708
5 BEEKMAN HOTEL OWNER LLC,MANHATTAN,40.711393,-74.006666
5 BEEKMAN HOTEL OWNER LLC,MANHATTAN,40.710962,-74.006864
