OBJECTID,Latitude,Longitude
1,43.048,-76.1490042
2,43.0478,-76.1512462
3,43.0502,-76.1494571
4,43.0441,-76.149263
5,43.049,-76.1516983
6,43.0482,-76.1533296
7,43.0493,-76.1517868
8,43.0521,-76.154711
9,43.0516,-76.1538433
10,43.0445,-76.1523853
11,43.0482,-76.1557754
12,43.0445,-76.1523853
13,43.0478,-76.1544166
14,43.0507,-76.1541577
16,43.0468,-76.1516538
17,43.0445,-76.1523853
18,43.0438,-76.1523785
19,43.0476,-76.155069
20,43.0485,-76.1545978
21,43.0483,-76.1478492
22,43.0485,-76.1534202
23,43.0477,-76.1538731
24,43.046,-76.1521025
25,43.0482,-76.1564095
26,43.0489,-76.1531032
27,43.049,-76.1539416
28,43.0526,-76.1545978
29,43.0482,-76.1534319
30,43.0502,-76.1515406
31,43.0446,-76.1513555
32,43.0452,-76.1524908
33,43.0478,-76.1525823
34,43.0445,-76.1523853
35,43.0445,-76.1523853
36,43.0483,-76.1532712
37,43.0475,-76.1533982
38,43.0518,-76.1537033
39,43.0505,-76.1569502
40,43.0487,-76.1516556
41,43.0497,-76.1468753
42,43.0481,-76.1564734
43,43.0477,-76.1538934
44,43.0486,-76.155716
45,43.0478,-76.1544166
46,43.0482,-76.1550281
47,43.0485,-76.1527861
48,43.0445,-76.1523853
49,43.0478,-76.1556754
50,43.0501,-76.1515032
51,43.045,-76.1503856
52,43.0445,-76.1523853
53,43.048,-76.153423
54,43.0486,-76.154822
55,43.049,-76.1516983
56,43.0477,-76.1538731
57,43.048,-76.1518576
58,43.05,-76.1512235
59,43.0485,-76.1525214
60,43.0493,-76.1510004
61,43.0516,-76.1538246
62,43.044,-76.1498421
63,43.0483,-76.1554058
64,43.0483,-76.1556817
65,43.0475,-76.1504535
66,43.0486,-76.1531568
67,43.0445,-76.1523853
68,43.0481,-76.1562509
69,43.0501,-76.1527408
70,43.0506,-76.1517105
71,43.0506,-76.1511316
72,43.0481,-76.1552595
73,43.05,-76.149458
74,43.0477,-76.156222
75,43.0445,-76.1523853
76,43.0506,-76.1544972
77,43.0444,-76.151072
78,43.0445,-76.1523853
79,43.0484,-76.1510876
80,43.0476,-76.155251
81,43.0522,-76.155297
82,43.0472,-76.150528
83,43.0481,-76.1559339
84,43.0481,-76.1538678
85,43.0507,-76.1562627
86,43.0467,-76.1505441
87,43.0507,-76.1512462
88,43.0498,-76.1495521
89,43.048,-76.1518916
90,43.0481,-76.154725
91,43.0507,-76.1537692
92,43.0485,-76.1562509
93,43.0507,-76.1506347
94,43.0484,-76.155174
95,43.0482,-76.1538731
96,43.0502,-76.1504051
97,43.0529,-76.1536917
98,43.0507,-76.149978
99,43.0506,-76.1509369
100,43.0501,-76.1495024
